,0
396,361114.7588445
397,361114.7588915
398,361114.758903
399,361114.758915
400,361114.7589503
401,361114.7590282
402,361114.7737892
403,361114.7739413
404,361114.7739842
405,361114.7740468
406,361114.774185
407,361114.7742952
408,361114.7744667
409,361114.7745949
410,361114.7890077
411,361114.7890647
412,361114.7893397
413,361114.789368
414,361114.7893999
415,361114.7897426
416,361114.7901807
417,361114.8045008
418,361114.8045958
419,361114.8047101
420,361114.804799
421,361114.8206296
422,361114.8209819
423,361114.8211706
424,361114.8211958
425,361114.8366657
426,361114.8371124
427,361114.8527227
428,361114.8527778
429,361114.8529725
430,361114.8532624
431,361114.8534136
432,361114.8678499
433,361114.8681948
434,361114.8684402
435,361114.8686425
436,361114.8688516
437,361114.882805
438,361114.8830354
439,361114.8834238
440,361114.8978246
441,361114.8980248
442,361114.8982538
443,361114.898547
444,361114.8986948
445,361114.9132747
446,361114.9134702
447,361114.928457
448,361114.928704
449,361114.9288789
450,361114.9290507
451,361114.9442089
452,361114.9442404
453,361114.9444706
454,361114.9451671
455,361114.9452088
456,361114.959628
457,361114.9598885
458,361114.9757577
459,361114.9758468
460,361114.9760871
461,361114.9762788
462,361114.9763987
463,361114.9912978
464,361114.9913481
465,361115.006705
466,361115.0068011
467,361115.0068735
468,361115.0069009
469,361115.006912
470,361115.0223254
471,361115.0224691
472,361115.0225131
473,361115.0225409
474,361115.0225661
475,361115.0225909
476,361115.0534172
477,361115.0535228
478,361115.0845338
479,361115.1006521
480,361115.1007114
481,361115.1008014
482,361115.1009515
483,361115.1010416
484,361115.1011557
485,361115.1169405
486,361115.1171274
487,361115.1172668
488,361115.1173893
489,361115.1175099
490,361115.1176355
491,361115.1179306
492,361115.1326301
493,361115.133122
494,361115.1333629
495,361115.1335766
496,361115.1337583
497,361115.1339649
498,361115.1342185
499,361115.1343876
500,361115.1345183
501,361115.1346179
502,361115.1346906
503,361115.147614
504,361115.1478464
505,361115.1786252
506,361115.1786767
507,361115.1787392
508,361115.1788385
509,361115.1942128
510,361115.1942748
511,361115.1942965
512,361115.1943155
513,361115.1943327
514,361115.1943722
515,361115.1944142
516,361115.1944255
517,361115.1944954
518,361115.2095118
519,361115.2097372
520,361115.2099393
521,361115.2100684
522,361115.2403489
523,361115.2405327
524,361115.2408061
525,361115.2409809
526,361115.2410842
527,361115.2412049
528,361115.2414606
529,361115.2415611
530,361115.2558856
531,361115.255933
532,361115.2560488
533,361115.2560726
534,361115.2714869
535,361115.2717707
536,361115.2719451
537,361115.2720858
538,361115.2866042
539,361115.2867479
540,361115.2867722
541,361115.302394
